iter	Logloss
0	0.6611777086
1	0.6364179758
2	0.6042815966
3	0.5794094281
4	0.5651427049
5	0.5449290153
6	0.5333225055
7	0.5229500991
8	0.5131660853
9	0.5013967172
10	0.4947946989
11	0.4865858616
12	0.4774810595
13	0.4709129333
14	0.4673745571
15	0.4605276157
16	0.4556132586
17	0.450061309
18	0.4458340376
19	0.4427773891
20	0.4373780764
21	0.4312239916
22	0.4284805885
23	0.4252475347
24	0.4203599783
25	0.4170678457
26	0.412102039
27	0.4099157284
28	0.4079456085
29	0.4038738838
30	0.3999727689
31	0.398407716
32	0.3965215194
33	0.3940190535
34	0.3906991176
35	0.3875795022
36	0.3842801559
37	0.3823347092
38	0.3815331826
39	0.3803970141
40	0.3776737604
41	0.3747433882
42	0.3701612032
43	0.3686006742
44	0.3664863293
45	0.3627703251
46	0.3613512088
47	0.3598390726
48	0.3572228261
49	0.3537189777
50	0.3524414943
51	0.3510650977
52	0.3494264163
53	0.3473768968
54	0.3458643204
55	0.3441883234
56	0.3422925167
57	0.3408415379
58	0.3395022368
59	0.3381792704
60	0.3366751304
61	0.33562044
62	0.3330297959
63	0.3314841833
64	0.3301005486
65	0.3290546124
66	0.3281309666
67	0.3264452616
68	0.3242175762
69	0.3227664752
70	0.3218096464
71	0.3197559944
72	0.3185109359
73	0.3177066216
74	0.3166924501
75	0.3155013842
76	0.3127244803
77	0.311376914
78	0.3108771398
79	0.3092903724
80	0.3081588012
81	0.3078741905
82	0.3068692379
83	0.3052356916
84	0.304117863
85	0.3037970616
86	0.3024291014
87	0.3004323764
88	0.2975834088
89	0.2945759358
90	0.2936056822
91	0.2923027919
92	0.2920125815
93	0.2906423471
94	0.2898445618
95	0.2889112081
96	0.2874064812
97	0.2863038625
98	0.2846066402
99	0.2840525554
100	0.2829777155
101	0.2820527981
102	0.2806555186
103	0.2798440884
104	0.2790269118
105	0.2774112408
106	0.2767259647
107	0.2760721109
108	0.2750925895
109	0.2737219884
110	0.273233756
111	0.2721322378
112	0.2714141699
113	0.2709879753
114	0.2698539832
115	0.2686854876
116	0.2675079933
117	0.2664489746
118	0.2650097578
119	0.2640419984
120	0.2624919109
121	0.2614849286
122	0.2606012882
123	0.2592227642
124	0.2582601156
125	0.2571599911
126	0.256610528
127	0.2550090399
128	0.2540424053
129	0.2531199578
130	0.2517837867
131	0.250765018
132	0.2496523735
133	0.2484884018
134	0.2477938334
135	0.2468952277
136	0.2454868219
137	0.2448311097
138	0.2437935365
139	0.2431048369
140	0.2424088747
141	0.2415653131
142	0.2408260443
143	0.2397963695
144	0.2388291481
145	0.2378748625
146	0.2369214082
147	0.2357442807
148	0.2349677208
149	0.2341940464
150	0.2332153565
151	0.2325153351
152	0.2312647013
153	0.2305601071
154	0.2294357006
155	0.2287265093
156	0.2280742939
157	0.2270316344
158	0.2257623428
159	0.224585851
160	0.2238557278
161	0.2231145516
162	0.2222292484
163	0.2215848336
164	0.2207351587
165	0.2199698962
166	0.2192858672
167	0.2180982492
168	0.217098016
169	0.216528648
170	0.2158348866
171	0.2153101212
172	0.2134890923
173	0.2126320814
174	0.2122151301
175	0.2112691341
176	0.2107847409
177	0.2099256516
178	0.2085975256
179	0.2077299265
180	0.2071167873
181	0.2062076422
182	0.2053784101
183	0.2050448809
184	0.2046828025
185	0.2039282383
186	0.2032517409
187	0.2027242734
188	0.2021966347
189	0.2014754613
190	0.2009183199
191	0.1997640316
192	0.1991587541
193	0.1986336586
194	0.198349806
195	0.1976939104
196	0.1971905659
197	0.1964534735
198	0.1960271689
199	0.1956868172
200	0.1953692925
201	0.1944240301
202	0.1939489291
203	0.1934611003
204	0.192817688
205	0.1921731509
206	0.1914678109
207	0.1908333363
208	0.1902982761
209	0.1895688864
210	0.188203237
211	0.1873433773
212	0.1869281133
213	0.1863319935
214	0.18573179
215	0.1849462558
216	0.1844784786
217	0.1840860538
218	0.1834640747
219	0.1831062879
220	0.1826233864
221	0.1820090612
222	0.1817483168
223	0.1805235789
224	0.1798360776
225	0.1791697282
226	0.178646051
227	0.1784006021
228	0.1781791296
229	0.1777176246
230	0.1769238007
231	0.1764834722
232	0.1759649423
233	0.1753262251
234	0.1748173053
235	0.174548357
236	0.1740282132
237	0.1732438405
238	0.1727304948
239	0.1722429104
240	0.1718437121
241	0.1713074415
242	0.1709519533
243	0.1705308816
244	0.1699567575
245	0.1694441086
246	0.1689472688
247	0.168815515
248	0.1681710145
249	0.1680497023
250	0.1675391686
251	0.1669538204
252	0.1665649659
253	0.1660768191
254	0.1657128579
255	0.1655902129
256	0.1650842031
257	0.1646096768
258	0.1640976637
259	0.1636995169
260	0.1634074113
261	0.1630495512
262	0.1627841852
263	0.1624252613
264	0.1619911561
265	0.1617319156
266	0.1613418139
267	0.1610287153
268	0.1604970052
269	0.1600047014
270	0.1594380721
271	0.1591434968
272	0.1586831778
273	0.1581365145
274	0.1577044022
275	0.1574689303
276	0.1569586289
277	0.1564213924
278	0.1560597053
279	0.1556912936
280	0.155271738
281	0.1548656072
282	0.1543967907
283	0.1541883884
284	0.1538217985
285	0.1535358307
286	0.1532454124
287	0.1527874531
288	0.1524385428
289	0.1519086422
290	0.1517723279
291	0.1515301924
292	0.1510582948
293	0.1507054476
294	0.1504969475
295	0.1500612406
296	0.1496267319
297	0.1492972252
298	0.1489493541
299	0.1480313326
