iter	Passed	Remaining
0	140	41944
1	144	21577
2	148	14735
3	152	11311
4	156	9250
5	159	7837
6	164	6892
7	169	6199
8	174	5639
9	178	5186
10	198	5220
11	202	4868
12	206	4566
13	211	4313
14	215	4087
15	219	3893
16	223	3722
17	228	3580
18	232	3439
19	235	3297
20	238	3167
21	242	3070
22	247	2977
23	251	2888
24	255	2811
25	259	2737
26	264	2670
27	268	2605
28	272	2550
29	276	2485
30	280	2433
31	284	2384
32	289	2341
33	293	2299
34	298	2257
35	302	2219
36	307	2182
37	311	2146
38	314	2101
39	318	2071
40	322	2039
41	327	2009
42	331	1982
43	336	1955
44	340	1928
45	344	1901
46	348	1875
47	352	1853
48	357	1830
49	361	1809
50	366	1789
51	370	1769
52	375	1750
53	380	1734
54	385	1717
55	391	1705
56	396	1691
57	402	1680
58	409	1674
59	416	1665
60	421	1651
61	426	1637
62	432	1628
63	438	1617
64	448	1620
65	455	1613
66	461	1604
67	467	1595
68	473	1585
69	480	1578
70	486	1567
71	492	1559
72	499	1552
73	505	1544
74	511	1533
75	516	1522
76	522	1511
77	527	1500
78	532	1488
79	538	1479
80	544	1470
81	547	1456
82	553	1448
83	560	1440
84	566	1433
85	571	1421
86	577	1412
87	582	1404
88	589	1396
89	595	1390
90	601	1382
91	607	1372
92	611	1361
93	617	1353
94	624	1346
95	631	1342
96	637	1333
97	643	1325
98	649	1319
99	655	1311
100	661	1302
101	667	1296
102	673	1287
103	680	1281
104	686	1274
105	692	1267
106	698	1259
107	704	1252
108	711	1246
109	716	1237
110	721	1228
111	727	1221
112	732	1212
113	737	1203
114	743	1195
115	749	1188
116	755	1181
117	761	1174
118	766	1166
119	772	1158
120	778	1151
121	785	1145
122	790	1138
123	795	1129
124	801	1121
125	806	1113
126	813	1107
127	819	1101
128	825	1093
129	830	1085
130	836	1079
131	841	1071
132	846	1062
133	851	1055
134	858	1048
135	864	1042
136	870	1035
137	875	1027
138	882	1021
139	887	1014
140	892	1006
141	898	999
142	903	992
143	910	986
144	916	979
145	922	972
146	929	967
147	935	961
148	941	953
149	946	946
150	952	939
151	957	932
152	963	926
153	969	919
154	976	913
155	983	907
156	989	901
157	994	894
158	1000	887
159	1006	880
160	1011	873
161	1017	866
162	1023	859
163	1028	853
164	1035	847
165	1042	841
166	1048	835
167	1055	829
168	1060	822
169	1066	815
170	1072	808
171	1078	802
172	1086	797
173	1091	790
174	1097	783
175	1102	776
176	1108	770
177	1115	764
178	1121	757
179	1126	751
180	1133	745
181	1138	738
182	1145	732
183	1151	725
184	1157	719
185	1163	713
186	1168	706
187	1173	699
188	1180	693
189	1186	686
190	1193	680
191	1199	674
192	1205	668
193	1212	662
194	1218	656
195	1224	649
196	1229	643
197	1235	636
198	1243	630
199	1248	624
200	1255	618
201	1260	611
202	1267	605
203	1273	599
204	1280	593
205	1286	587
206	1292	580
207	1298	574
208	1304	568
209	1310	561
210	1315	555
211	1322	548
212	1327	542
213	1333	535
214	1339	529
215	1345	523
216	1352	517
217	1358	511
218	1364	504
219	1371	498
220	1376	492
221	1383	486
222	1389	479
223	1394	473
224	1401	467
225	1408	461
226	1414	455
227	1421	448
228	1427	442
229	1433	436
230	1440	430
231	1446	424
232	1452	417
233	1458	411
234	1464	404
235	1470	398
236	1478	392
237	1484	386
238	1490	380
239	1496	374
240	1502	367
241	1509	361
242	1514	355
243	1520	348
244	1525	342
245	1531	336
246	1537	329
247	1543	323
248	1550	317
249	1556	311
250	1562	305
251	1568	298
252	1573	292
253	1579	285
254	1585	279
255	1590	273
256	1595	266
257	1601	260
258	1608	254
259	1615	248
260	1620	242
261	1625	235
262	1631	229
263	1637	223
264	1642	216
265	1648	210
266	1653	204
267	1658	198
268	1664	191
269	1668	185
270	1675	179
271	1681	173
272	1686	166
273	1693	160
274	1699	154
275	1704	148
276	1709	141
277	1715	135
278	1720	129
279	1725	123
280	1732	117
281	1739	111
282	1745	104
283	1750	98
284	1757	92
285	1762	86
286	1768	80
287	1773	73
288	1779	67
289	1784	61
290	1790	55
291	1795	49
292	1800	43
293	1806	36
294	1811	30
295	1819	24
296	1824	18
297	1831	12
298	1837	6
299	1843	0
